State,Date,OffAge,OffAge,OffAge,OffAge
,,count,mean,min,max
Alabama,1984-12-01,37,33.891891891891895,17.0,68.0
Alabama,1985-01-01,33,36.696969696969695,17.0,72.0
Alabama,1985-02-01,21,30.571428571428573,13.0,50.0
Alabama,1985-03-01,33,34.666666666666664,16.0,82.0
Alabama,1985-04-01,26,30.807692307692307,15.0,66.0
Alabama,1985-05-01,26,38.73076923076923,13.0,84.0
Alabama,1985-06-01,26,32.11538461538461,18.0,59.0
Alabama,1985-07-01,47,28.170212765957448,12.0,61.0
Alabama,1985-08-01,21,30.428571428571427,16.0,52.0
Alabama,1985-09-01,29,33.55172413793103,15.0,71.0
Alabama,1985-10-01,27,42.851851851851855,17.0,84.0
Alabama,1985-11-01,25,33.2,17.0,72.0
Alabama,1985-12-01,32,34.15625,15.0,75.0
Alabama,1986-01-01,26,31.115384615384617,18.0,52.0
Alabama,1986-02-01,35,34.857142857142854,15.0,66.0
Alabama,1986-03-01,29,30.862068965517242,13.0,76.0
Alabama,1986-04-01,32,32.71875,14.0,60.0
Alabama,1986-05-01,37,37.513513513513516,15.0,80.0
Alabama,1986-06-01,31,31.225806451612904,16.0,68.0
Alabama,1986-07-01,47,33.702127659574465,14.0,77.0
Alabama,1986-08-01,26,34.26923076923077,18.0,62.0
Alabama,1986-09-01,32,31.84375,17.0,58.0
Alabama,1986-10-01,23,40.26086956521739,18.0,70.0
Alabama,1986-11-01,19,34.21052631578947,16.0,75.0
Alabama,1986-12-01,33,36.96969696969697,14.0,83.0
Alabama,1987-01-01,31,33.29032258064516,15.0,72.0
Alabama,1987-02-01,19,33.89473684210526,18.0,64.0
Alabama,1987-03-01,29,39.06896551724138,20.0,69.0
Alabama,1987-04-01,18,33.05555555555556,14.0,61.0
Alabama,1987-05-01,31,33.16129032258065,12.0,67.0
Alabama,1987-06-01,28,32.464285714285715,10.0,57.0
Alabama,1987-07-01,32,33.15625,18.0,57.0
Alabama,1987-08-01,30,33.7,15.0,69.0
Alabama,1987-09-01,21,32.333333333333336,15.0,65.0
Alabama,1987-10-01,21,37.19047619047619,19.0,73.0
Alabama,1987-11-01,13,32.30769230769231,18.0,59.0
Alabama,1987-12-01,23,33.04347826086956,17.0,63.0
Alabama,1988-01-01,19,31.94736842105263,17.0,65.0
Alabama,1988-02-01,23,31.434782608695652,20.0,73.0
Alabama,1988-03-01,31,31.225806451612904,18.0,71.0
Alabama,1988-04-01,32,33.40625,16.0,73.0
Alabama,1988-05-01,26,33.26923076923077,15.0,77.0
Alabama,1988-06-01,26,29.73076923076923,16.0,64.0
Alabama,1988-07-01,35,34.51428571428571,17.0,60.0
Alabama,1988-08-01,36,31.77777777777778,14.0,70.0
Alabama,1988-09-01,34,32.205882352941174,14.0,69.0
Alabama,1988-10-01,33,35.696969696969695,18.0,80.0
Alabama,1988-11-01,25,37.4,18.0,83.0
Alabama,1988-12-01,28,30.035714285714285,16.0,65.0
Alabama,1989-01-01,28,28.75,10.0,55.0
Alabama,1989-02-01,14,27.571428571428573,17.0,53.0
Alabama,1989-03-01,24,33.125,15.0,62.0
Alabama,1989-04-01,47,31.404255319148938,13.0,63.0
Alabama,1989-05-01,29,29.03448275862069,14.0,46.0
Alabama,1989-06-01,25,32.12,10.0,60.0
Alabama,1989-07-01,26,33.11538461538461,14.0,75.0
Alabama,1989-08-01,36,28.444444444444443,11.0,63.0
Alabama,1989-09-01,27,36.370370370370374,16.0,73.0
Alabama,1989-10-01,35,30.914285714285715,17.0,81.0
Alabama,1989-11-01,26,32.0,14.0,70.0
Alabama,1989-12-01,37,31.945945945945947,16.0,87.0
Alabama,1990-01-01,34,28.470588235294116,18.0,51.0
Alabama,1990-02-01,32,33.1875,15.0,73.0
Alabama,1990-03-01,27,28.925925925925927,16.0,63.0
Alabama,1990-04-01,36,33.30555555555556,15.0,80.0
Alabama,1990-05-01,28,32.25,16.0,91.0
Alabama,1990-06-01,33,30.78787878787879,15.0,67.0
Alabama,1990-07-01,43,33.93023255813954,17.0,65.0
Alabama,1990-08-01,47,32.297872340425535,15.0,71.0
Alabama,1990-09-01,43,34.04651162790697,17.0,86.0
Alabama,1990-10-01,28,32.964285714285715,15.0,76.0
Alabama,1990-11-01,26,27.846153846153847,14.0,52.0
Alabama,1990-12-01,33,30.181818181818183,17.0,77.0
Alabama,1991-01-01,14,27.0,16.0,65.0
Alabama,1991-02-01,17,26.647058823529413,18.0,37.0
Alabama,1991-03-01,17,29.529411764705884,15.0,53.0
Alabama,1991-04-01,14,25.857142857142858,13.0,41.0
Alabama,1991-05-01,24,30.333333333333332,16.0,55.0
Alabama,1991-06-01,14,28.428571428571427,15.0,60.0
Alabama,1991-07-01,14,30.642857142857142,14.0,53.0
Alabama,1991-08-01,21,31.238095238095237,17.0,49.0
Alabama,1991-09-01,20,36.35,18.0,84.0
Alabama,1991-10-01,24,35.541666666666664,15.0,59.0
Alabama,1991-11-01,14,31.714285714285715,16.0,82.0
Alabama,1991-12-01,29,31.413793103448278,16.0,67.0
Alabama,1992-12-01,219,32.10958904109589,10.0,82.0
Alabama,1993-01-01,30,29.3,15.0,72.0
Alabama,1993-02-01,28,31.785714285714285,16.0,55.0
